P_out, P_c, E,dE/dP, M, R
2.65E-12,62,532.5404735,2.877963187,1.057297742,10.713
1.58E-12,63,535.4034779,2.848179703,1.065594933,10.715
1.84E-12,64,538.2370955,2.819183883,1.073779809,10.715
1.59E-12,65,541.0420974,2.790943266,1.081857381,10.716
2.48E-12,66,543.8192235,2.763427196,1.089827607,10.716
2.01E-12,67,546.5691837,2.736606704,1.09769288,10.717
2.13E-12,68,549.2926596,2.710454387,1.105455507,10.717
1.58E-12,69,551.9903065,2.684944304,1.113120091,10.718
4.67E-12,70,554.6627541,2.660051876,1.120686365,10.717
4.79E-12,71,557.3106083,2.6357538,1.128156428,10.717
5.30E-12,72,559.9344524,2.612027962,1.135532293,10.717
5.19E-12,73,562.534848,2.588853362,1.142818242,10.718
1.74E-12,74,565.1123362,2.566210046,1.150013816,10.719
4.78E-12,75,567.6674389,2.544079038,1.157120861,10.718
4.32E-12,76,570.2006591,2.522442279,1.164141163,10.718
4.97E-12,77,572.7124824,2.501282574,1.171076447,10.718
5.05E-12,78,575.2033778,2.48058354,1.177930642,10.718
6.13E-12,79,577.6737978,2.460329555,1.184703106,10.718
5.23E-12,80,580.1241802,2.440505717,1.191395422,10.718
5.94E-12,81,582.5549479,2.421097799,1.198009133,10.718
5.07E-12,82,584.9665099,2.402092213,1.204545734,10.718
5.64E-12,83,587.3592621,2.383475973,1.211006679,10.717
5.80E-12,84,589.7335875,2.365236663,1.217395547,10.717
5.90E-12,85,592.0898571,2.347362402,1.223709374,10.716
5.83E-12,86,594.4284302,2.32984182,1.229953809,10.716
4.42E-12,87,596.749655,2.312664024,1.236127994,10.716
4.82E-12,88,599.053869,2.295818579,1.242233197,10.716
4.96E-12,89,601.3413996,2.279295482,1.24827275,10.716
5.08E-12,90,603.6125642,2.263085135,1.254243647,10.715
4.23E-12,91,605.8676711,2.247178332,1.260149173,10.715
3.37E-12,92,608.1070191,2.231566232,1.265992528,10.715
4.64E-12,93,610.3308989,2.216240347,1.271772742,10.714
3.80E-12,94,612.5395925,2.201192517,1.277490898,10.714
5.02E-12,95,614.733374,2.186414901,1.283146027,10.712
3.32E-12,96,616.9125099,2.171899958,1.288745242,10.713
5.22E-12,97,619.0772591,2.157640431,1.294283467,10.712
3.87E-12,98,621.2278735,2.143629337,1.299763713,10.711
3.95E-12,99,623.3645983,2.129859953,1.305186936,10.71
4.20E-12,100,625.4876719,2.116325801,1.310556053,10.71
3.29E-12,101,627.5973263,2.103020641,1.315868009,10.709
3.85E-12,102,629.6937875,2.089938458,1.321127637,10.708
4.34E-12,103,631.7772756,2.077073449,1.326333836,10.707
9.74E-12,104,633.8480049,2.06442002,1.33148552,10.706
4.36E-12,105,635.9061843,2.051972771,1.336587407,10.705
9.86E-12,106,637.9520174,2.039726488,1.341638357,10.704
9.36E-12,107,639.9857026,2.02767614,1.346639161,10.703
4.27E-12,108,642.0074334,2.015816863,1.351590608,10.703
3.52E-12,109,644.0173985,2.00414396,1.356495338,10.703
3.85E-12,110,646.0157819,1.992652891,1.361350308,10.701
3.68E-12,111,648.0027634,1.981339264,1.366158147,10.7
1.11E-11,112,649.9785182,1.970198834,1.370921427,10.699
4.59E-12,113,651.9432174,1.959227492,1.375637104,10.698
1.17E-11,114,653.8970282,1.948421264,1.380309578,10.697
1.19E-11,115,655.8401137,1.9377763,1.384935817,10.695
1.16E-11,116,657.7726333,1.927288875,1.389520152,10.694
1.04E-11,117,659.6947427,1.916955379,1.394061379,10.694
9.27E-12,118,661.6065942,1.906772315,1.398560124,10.693
1.12E-11,119,663.5083364,1.896736296,1.403016998,10.692
1.20E-11,120,665.4001147,1.886844036,1.407432599,10.69
1.20E-11,121,667.2820713,1.87709235,1.411807517,10.689
1.09E-11,122,669.1543452,1.867478149,1.416142328,10.688
9.00E-12,123,671.0170724,1.857998436,1.420437595,10.687
1.17E-11,124,672.870386,1.848650305,1.424693872,10.686
1.35E-11,125,674.714416,1.839430933,1.4289117,10.684
1.30E-11,126,676.5492898,1.830337579,1.43309161,10.683
8.93E-12,127,678.3751323,1.821367584,1.437235863,10.683
1.22E-11,128,680.1920653,1.812518364,1.441341481,10.681
1.20E-11,129,682.0002084,1.803787407,1.445412441,10.68
1.39E-11,130,683.7996787,1.795172276,1.449445771,10.678
1.16E-11,131,685.5905908,1.786670599,1.453445402,10.677
1.18E-11,132,687.3730569,1.778280071,1.457408373,10.676
1.30E-11,133,689.1471872,1.769998451,1.461338567,10.675
8.44E-12,134,690.9130894,1.76182356,1.465234726,10.674
1.18E-11,135,692.6708692,1.753753278,1.469095611,10.672
1.04E-11,136,694.4206302,1.745785542,1.472925038,10.671
8.39E-12,137,696.1624738,1.737918343,1.476721747,10.67
1.10E-11,138,697.8964997,1.73014973,1.480486159,10.668
1.15E-11,139,699.6228055,1.722477798,1.484217028,10.666
1.36E-11,140,701.3414869,1.714900696,1.48791809,10.665
8.27E-12,141,703.0526379,1.70741662,1.491588076,10.664
8.54E-12,142,704.7563506,1.700023813,1.495227381,10.663
1.27E-11,143,706.4527154,1.692720563,1.49883639,10.661
1.14E-11,144,708.141821,1.685505201,1.502415483,10.66
8.42E-12,145,709.8237545,1.678376101,1.505965031,10.659
1.39E-11,146,711.4986014,1.671331679,1.509487018,10.657
1.03E-11,147,713.1664456,1.664370389,1.512978564,10.656
1.12E-11,148,714.8273694,1.657490724,1.516441644,10.654
1.19E-11,149,716.4814538,1.650691214,1.519876607,10.653
1.32E-11,150,718.1287781,1.643970426,1.523283793,10.651
8.08E-12,151,719.7694204,1.637326961,1.526665126,10.651
1.44E-11,152,721.4034573,1.630759454,1.530017754,10.648
1.22E-11,153,723.0309642,1.624266572,1.533343596,10.647
1.13E-11,154,724.6520149,1.617847016,1.536644541,10.646
9.44E-12,155,726.2666822,1.611499516,1.539917755,10.644
1.29E-11,156,727.8750375,1.605222832,1.543166684,10.643
9.71E-12,157,729.4771511,1.599015755,1.546388506,10.641
1.37E-11,158,731.0730919,1.592877101,1.549586635,10.64
8.35E-12,159,732.6629277,1.586805716,1.552758255,10.639
1.04E-11,160,734.2467253,1.580800471,1.555906755,10.637
1.20E-11,161,735.8245503,1.574860264,1.559029332,10.635
1.22E-11,162,737.3964672,1.568984017,1.562129341,10.634
1.11E-11,163,738.9625393,1.563170677,1.565203992,10.632
1.18E-11,164,740.5228292,1.557419215,1.568256612,10.631
1.16E-11,165,742.077398,1.551728623,1.571285936,10.629
9.57E-12,166,743.6263064,1.546097917,1.574290714,10.628
8.54E-12,167,745.1696135,1.540526135,1.577274234,10.626
1.41E-11,168,746.707378,1.535012334,1.580235235,10.624
1.07E-11,169,748.2396572,1.529555595,1.583173966,10.624
1.34E-11,170,749.7665079,1.524155015,1.586089181,10.621
1.04E-11,171,751.2879857,1.518809714,1.588984111,10.62
7.79E-12,172,752.8041454,1.513518827,1.591857499,10.619
1.05E-11,173,754.3150412,1.50828151,1.59470958,10.617
1.18E-11,174,755.820726,1.503096937,1.597540586,10.615
1.31E-11,175,757.3212524,1.497964299,1.600350745,10.614
8.33E-12,176,758.8166717,1.492882802,1.603140283,10.613
9.61E-12,177,760.3070348,1.487851671,1.60590942,10.611
9.57E-12,178,761.7923916,1.482870147,1.608658374,10.61
8.78E-12,179,763.2727913,1.477937484,1.611385908,10.608
9.14E-12,180,764.7482826,1.473052953,1.614095144,10.606
8.16E-12,181,766.218913,1.468215841,1.616784833,10.605
7.91E-12,182,767.6847298,1.463425448,1.61945518,10.603
7.74E-12,183,769.1457793,1.458681087,1.622107827,10.602
1.21E-11,184,770.6021071,1.453982087,1.624740092,10.6
1.06E-11,185,772.0537584,1.449327789,1.627353616,10.598
7.97E-12,186,773.5007774,1.444717548,1.629948592,10.597
1.13E-11,187,774.9432079,1.44015073,1.632525211,10.595
8.98E-12,188,776.3810931,1.435626715,1.635083662,10.593
1.21E-11,189,777.8144754,1.431144894,1.637624125,10.591
9.28E-12,190,779.2433968,1.426704671,1.640146796,10.59
1.17E-11,191,780.6678984,1.422305461,1.642651847,10.588
8.56E-12,192,782.0880212,1.417946689,1.64514086,10.587
1.19E-11,193,783.5038051,1.413627793,1.647611202,10.585
1.38E-11,194,784.9152899,1.40934822,1.650064454,10.583
7.81E-12,195,786.3225145,1.405107428,1.652500785,10.582
8.56E-12,196,787.7255175,1.400904886,1.654920364,10.58
