P_out, P_c, E,dE/dP, M, R
1.03E-11,202,834.6083685,2.105342096,1.796971515,11.522
1.43E-11,203,836.7120016,2.101928687,1.798351557,11.517
1.07E-11,204,838.8122349,2.098542335,1.799718523,11.513
1.33E-11,205,840.9090952,2.09518269,1.801072561,11.508
1.03E-11,206,843.0026091,2.091849412,1.802413818,11.504
8.15E-12,207,845.0928027,2.088542162,1.803742443,11.5
1.34E-11,208,847.179702,2.085260612,1.805059448,11.496
1.10E-11,209,849.2633324,2.082004436,1.806363237,11.492
8.80E-12,210,851.3437192,2.078773315,1.807654819,11.487
1.27E-11,211,853.4208873,2.075566936,1.808934334,11.483
1.10E-11,212,855.4948612,2.07238499,1.810201917,11.479
9.62E-12,213,857.5656653,2.069227176,1.811457703,11.475
8.61E-12,214,859.6333235,2.066093194,1.812701824,11.471
7.59E-12,215,861.6978595,2.062982753,1.813934409,11.466
1.35E-11,216,863.7592968,2.059895566,1.815155589,11.461
1.27E-11,217,865.8176583,2.056831348,1.816365489,11.457
1.23E-11,218,867.872967,2.053789823,1.817564233,11.453
1.27E-11,219,869.9252454,2.050770716,1.818752792,11.449
1.27E-11,220,871.9745158,2.047773759,1.819929591,11.445
1.30E-11,221,874.0208002,2.044798687,1.821095598,11.441
1.16E-11,222,876.0641204,2.04184524,1.82225093,11.437
1.23E-11,223,878.1044979,2.038913163,1.823395705,11.433
1.33E-11,224,880.1419538,2.036002203,1.824530037,11.429
7.50E-12,225,882.1765092,2.033112114,1.825654037,11.426
8.17E-12,226,884.2081849,2.030242651,1.826767818,11.421
9.35E-12,227,886.2370013,2.027393574,1.827871489,11.417
1.09E-11,228,888.2629788,2.024564648,1.828965159,11.413
1.30E-11,229,890.2861372,2.021755641,1.830048933,11.409
7.79E-12,230,892.3064966,2.018966325,1.831122917,11.405
9.65E-12,231,894.3240764,2.016196474,1.832187216,11.401
1.22E-11,232,896.338896,2.013445867,1.833241931,11.397
7.73E-12,233,898.3509745,2.010714286,1.834287163,11.393
1.02E-11,234,900.3603308,2.008001518,1.835323012,11.389
1.32E-11,235,902.3669837,2.005307351,1.836349575,11.384
1.13E-11,236,904.3709516,2.002631576,1.837367769,11.381
7.70E-12,237,906.3722529,1.99997399,1.83837605,11.377
1.10E-11,238,908.3709056,1.997334392,1.839375334,11.373
8.08E-12,239,910.3669276,1.994712581,1.840365712,11.37
1.17E-11,240,912.3603366,1.992108364,1.841347277,11.365
8.85E-12,241,914.3511502,1.989521548,1.84232012,11.362
1.33E-11,242,916.3393855,1.986951943,1.843284328,11.357
1.19E-11,243,918.3250597,1.984399362,1.844239992,11.353
9.29E-12,244,920.3081898,1.981863622,1.845187198,11.349
7.68E-12,245,922.2887925,1.979344541,1.846126032,11.346
1.29E-11,246,924.2668844,1.976841942,1.847056578,11.342
1.07E-11,247,926.2424818,1.974355647,1.84797892,11.338
1.06E-11,248,928.2156011,1.971885484,1.848893142,11.334
9.12E-12,249,930.1862581,1.969431283,1.849799323,11.33
8.32E-12,250,932.1544689,1.966992874,1.850697546,11.327
7.44E-12,251,934.1202491,1.964570092,1.851587888,11.323
7.95E-12,252,936.0836142,1.962162774,1.85247043,11.319
7.39E-12,253,938.0445797,1.959770759,1.853345247,11.315
7.31E-12,254,940.0031608,1.957393888,1.854212418,11.312
1.43E-11,255,941.9593725,1.955032004,1.855072016,11.307
1.35E-11,256,943.9132297,1.952684953,1.855923332,11.303
1.36E-11,257,945.8647473,1.950352584,1.85676801,11.299
8.11E-12,258,947.8139398,1.948034746,1.857605338,11.296
