P_out, P_c, E, dE/dP, M, R
7.14E-12,405,1194.993998,1.619361493,1.958253591,11.049
7.48E-12,406,1196.612682,1.618007994,1.958474504,11.046
1.43E-11,407,1198.230015,1.616659469,1.958693861,11.043
6.34E-12,408,1199.846002,1.615315886,1.958910857,11.04
1.26E-11,409,1201.460649,1.613977216,1.959126323,11.037
1.40E-11,410,1203.073958,1.612643427,1.959339457,11.034
1.41E-11,411,1204.685937,1.611314489,1.959551088,11.031
1.37E-11,412,1206.296589,1.609990373,1.959760415,11.028
1.42E-11,413,1207.905919,1.608671049,1.959968265,11.025
7.27E-12,414,1209.513933,1.607356487,1.960173838,11.023
6.53E-12,415,1211.120634,1.606046659,1.96037796,11.02
8.10E-12,416,1212.726028,1.604741536,1.960579833,11.017
7.78E-12,417,1214.330119,1.60344109,1.96078028,11.015
1.15E-11,418,1215.932911,1.602145291,1.960978505,11.011
9.54E-12,419,1217.534411,1.600854111,1.961175327,11.009
6.19E-12,420,1219.134621,1.599567524,1.961369954,11.006
6.39E-12,421,1220.733547,1.598285501,1.961563204,11.004
8.46E-12,422,1222.331194,1.597008014,1.961754283,11
1.17E-11,423,1223.927565,1.595735038,1.961943608,10.997
6.19E-12,424,1225.522665,1.594466544,1.962131592,10.995
8.97E-12,425,1227.116499,1.593202506,1.962317443,10.992
9.62E-12,426,1228.709072,1.591942897,1.962501975,10.989
1.42E-11,427,1230.300387,1.590687692,1.962684401,10.986
6.64E-12,428,1231.890449,1.589436864,1.96286553,10.984
1.18E-11,429,1233.479262,1.588190388,1.963044578,10.98
1.41E-11,430,1235.066831,1.586948237,1.963222352,10.978
9.13E-12,431,1236.65316,1.585710387,1.963398066,10.975
6.12E-12,432,1238.238253,1.584476811,1.963572133,10.973
8.98E-12,433,1239.822115,1.583247486,1.96374496,10.97
1.43E-11,434,1241.404749,1.582022386,1.963915763,10.966
8.92E-12,435,1242.986161,1.580801487,1.964085348,10.964
1.28E-11,436,1244.566354,1.579584764,1.964252934,10.961
1.08E-11,437,1246.145332,1.578372194,1.964418926,10.958
6.15E-12,438,1247.723099,1.577163752,1.964583731,10.957
1.07E-11,439,1249.299661,1.575959414,1.964746569,10.953
9.53E-12,440,1250.87502,1.574759156,1.964907847,10.95
1.31E-11,441,1252.44918,1.573562957,1.965067969,10.947
1.03E-11,442,1254.022147,1.572370791,1.965226158,10.945
6.05E-12,443,1255.593923,1.571182636,1.965383209,10.943
1.38E-11,444,1257.164514,1.56999847,1.965538351,10.939
1.14E-11,445,1258.733922,1.568818269,1.965691983,10.937
8.13E-12,446,1260.302151,1.567642011,1.965844509,10.934
6.98E-12,447,1261.869207,1.566469674,1.965995155,10.932
1.40E-11,448,1263.435092,1.565301236,1.966144322,10.928
1.09E-11,449,1264.999811,1.564136674,1.966292413,10.926
9.73E-12,450,1266.563367,1.562975967,1.966438655,10.924
8.49E-12,451,1268.125764,1.561819093,1.966583447,10.921
6.57E-12,452,1269.687006,1.560666031,1.966727191,10.918
6.18E-12,453,1271.247097,1.55951676,1.966869116,10.916
6.76E-12,454,1272.806041,1.558371258,1.967009621,10.913
1.16E-11,455,1274.363841,1.557229504,1.967149104,10.91
1.13E-11,456,1275.920501,1.556091478,1.967286798,10.908
1.08E-11,457,1277.476025,1.554957159,1.9674231,10.905
9.60E-12,458,1279.030417,1.553826526,1.967558407,10.903
9.43E-12,459,1280.583679,1.55269956,1.967691954,10.9
1.14E-11,460,1282.135817,1.55157624,1.967824138,10.897
8.76E-12,461,1283.686833,1.550456546,1.967955351,10.895
1.09E-11,462,1285.236731,1.549340458,1.968084833,10.892
1.14E-11,463,1286.785515,1.548227957,1.968212978,10.889
1.45E-11,464,1288.333188,1.547119022,1.968339794,10.886
1.19E-11,465,1289.879754,1.546013636,1.968465675,10.884
6.39E-12,466,1291.425217,1.544911778,1.968589861,10.882
7.08E-12,467,1292.969579,1.543813429,1.968712744,10.879
8.30E-12,468,1294.512845,1.54271857,1.968834333,10.877
8.34E-12,469,1296.055017,1.541627183,1.968955021,10.874
9.65E-12,470,1297.5961,1.540539248,1.969074048,10.871
1.36E-11,471,1299.136097,1.539454748,1.969191806,10.868
1.23E-11,472,1300.675011,1.538373664,1.969308685,10.866
7.35E-12,473,1302.212846,1.537295978,1.969423932,10.864
9.00E-12,474,1303.749604,1.536221671,1.969537934,10.861
1.35E-11,475,1305.28529,1.535150726,1.9696507,10.858
6.94E-12,476,1306.819907,1.534083125,1.969762237,10.856
6.72E-12,477,1308.353457,1.533018849,1.969872935,10.854
1.06E-11,478,1309.885945,1.531957882,1.969982042,10.851
1.40E-11,479,1311.417374,1.530900207,1.970089943,10.848
9.18E-12,480,1312.947747,1.529845804,1.970196649,10.846
1.08E-11,481,1314.477067,1.528794659,1.970302543,10.843
6.09E-12,482,1316.005337,1.527746753,1.970406879,10.841
1.02E-11,483,1317.532562,1.526702069,1.970510041,10.838
5.88E-12,484,1319.058743,1.525660591,1.970612036,10.836
1.02E-11,485,1320.583884,1.524622302,1.970712874,10.833
1.13E-11,486,1322.107988,1.523587185,1.970812937,10.831
6.72E-12,487,1323.631059,1.522555225,1.97091148,10.829
