P_out, P_c, E,dE/dP, M, R
1.33E-11,181,483.4139496,1.248927418,2.775638995,14.293
1.04E-11,182,484.6616855,1.246545043,2.778197446,14.291
7.84E-12,183,485.9070412,1.244167212,2.780727262,14.289
9.52E-12,184,487.1500214,1.241793916,2.783224202,14.286
1.13E-11,185,488.3906306,1.239425148,2.785693399,14.284
6.85E-12,186,489.6288732,1.237060899,2.788130613,14.281
1.28E-11,187,490.8647539,1.234701159,2.790540937,14.278
1.25E-11,188,492.098277,1.23234592,2.792920135,14.275
1.02E-11,189,493.3294472,1.229995175,2.79527327,14.273
7.48E-12,190,494.5582689,1.227648913,2.797598418,14.271
1.26E-11,191,495.7847465,1.225307127,2.799893676,14.267
6.83E-12,192,497.0088846,1.222969808,2.80216405,14.266
8.89E-12,193,498.2306876,1.220636948,2.804407612,14.263
1.16E-11,194,499.45016,1.218308537,2.806622453,14.259
1.12E-11,195,500.6673062,1.215984568,2.808813531,14.257
1.15E-11,196,501.8821306,1.213665032,2.810978912,14.254
9.38E-12,197,503.0946377,1.211349921,2.813118957,14.252
8.13E-12,198,504.3048319,1.209039226,2.815234017,14.249
7.52E-12,199,505.5127176,1.206732939,2.817322178,14.246
1.15E-11,200,506.7182993,1.204431051,2.819388311,14.243
7.03E-12,201,507.9215812,1.202133554,2.821430482,14.241
1.11E-11,202,509.1225678,1.199840439,2.823449021,14.238
1.37E-11,203,510.3212635,1.197551699,2.825444249,14.235
6.78E-12,204,511.5176727,1.195267324,2.827416487,14.233
8.79E-12,205,512.7117997,1.192987307,2.829366047,14.23
8.95E-12,206,513.9036488,1.19071164,2.831293236,14.227
8.85E-12,207,515.0932244,1.188440313,2.833198357,14.225
7.97E-12,208,516.2805308,1.186173319,2.835081706,14.222
8.16E-12,209,517.4655725,1.183910649,2.836943577,14.219
6.53E-12,210,518.6483536,1.181652295,2.838784256,14.216
1.22E-11,211,519.8288785,1.179398249,2.840604027,14.213
8.83E-12,212,521.0071515,1.177148503,2.842403168,14.21
6.19E-12,213,522.1831769,1.174903049,2.844181952,14.208
1.14E-11,214,523.356959,1.172661877,2.845940649,14.204
1.45E-11,215,524.5285021,1.170424981,2.847679522,14.201
1.01E-11,216,525.6978104,1.168192352,2.849398833,14.198
1.41E-11,217,526.8648882,1.165963981,2.851098839,14.195
6.41E-12,218,528.0297398,1.163739862,2.852779789,14.193
9.38E-12,219,529.1923694,1.161519985,2.854441933,14.189
1.12E-11,220,530.3527812,1.159304342,2.856085516,14.186
1.17E-11,221,531.5109795,1.157092926,2.857712945,14.184
1.09E-11,222,532.6669684,1.154885728,2.85932012,14.181
1.15E-11,223,533.8207523,1.15268274,2.86090944,14.178
1.18E-11,224,534.9723353,1.150483955,2.862481137,14.175
1.15E-11,225,536.1217216,1.148289364,2.864035434,14.172
9.81E-12,226,537.2689154,1.146098959,2.865574703,14.17
9.08E-12,227,538.4139209,1.143912733,2.867094864,14.167
8.02E-12,228,539.5567423,1.141730677,2.868598282,14.164
6.81E-12,229,540.6973837,1.139552783,2.870085168,14.161
1.30E-11,230,541.8358492,1.137379044,2.871555729,14.156
8.11E-12,231,542.9721431,1.135209451,2.873012303,14.155
6.26E-12,232,544.1062695,1.133043996,2.87445083,14.152
1.15E-11,233,545.2382325,1.130882673,2.875873639,14.148
7.41E-12,234,546.3680362,1.128725472,2.877283042,14.146
1.29E-11,235,547.4956848,1.126572386,2.878674999,14.142
7.60E-12,236,548.6211824,1.124423407,2.880051817,14.14
1.24E-11,237,549.744533,1.122278528,2.881413683,14.136
7.27E-12,238,550.8657408,1.12013774,2.882762885,14.134
1.13E-11,239,551.9848098,1.118001035,2.884095396,14.13
5.95E-12,240,553.1017442,1.115868407,2.885413499,14.128
9.55E-12,241,554.216548,1.113739846,2.886719463,14.125
1.21E-11,242,555.3292253,1.111615346,2.888009275,14.122
6.91E-12,243,556.4397801,1.109494898,2.8892852,14.119
8.55E-12,244,557.5482164,1.107378495,2.890549488,14.116
1.02E-11,245,558.6545384,1.10526613,2.891798141,14.113
1.36E-11,246,559.75875,1.103157793,2.893033402,14.109
1.38E-11,247,560.8608553,1.101053479,2.894257508,14.107
7.17E-12,248,561.9608583,1.098953178,2.89546647,14.104
8.02E-12,249,563.058763,1.096856884,2.89666458,14.101
1.06E-11,250,564.1545734,1.094764589,2.897847869,14.098
1.11E-11,251,565.2482935,1.092676284,2.899018548,14.095
1.21E-11,252,566.3399273,1.090591964,2.900178823,14.092
1.23E-11,253,567.4294788,1.088511619,2.901324731,14.089
5.69E-12,254,568.5169519,1.086435242,2.902458473,14.086
5.92E-12,255,569.6023506,1.084362827,2.903582239,14.083
7.08E-12,256,570.6856788,1.082294364,2.904692077,14.08
6.12E-12,257,571.7669406,1.080229847,2.905792209,14.078
6.86E-12,258,572.8461399,1.078169269,2.906878699,14.074
5.76E-12,259,573.9232805,1.076112621,2.907955747,14.072
6.36E-12,260,574.9983664,1.074059896,2.909019429,14.068
7.14E-12,261,576.0714016,1.072011087,2.910071905,14.065
5.85E-12,262,577.1423899,1.069966185,2.911115329,14.063
6.20E-12,263,578.2113352,1.067925185,2.91214578,14.059
1.29E-11,264,579.2782415,1.065888078,2.913167425,14.056
1.42E-11,265,580.3431127,1.063854857,2.914176357,14.053
1.29E-11,266,581.4059526,1.061825514,2.915176721,14.05
1.15E-11,267,582.466765,1.059800042,2.916164622,14.047
1.16E-11,268,583.5255539,1.057778434,2.917142186,14.043
9.21E-12,269,584.5823232,1.055760683,2.918111536,14.041
9.60E-12,270,585.6370766,1.05374678,2.91906878,14.038
7.32E-12,271,586.689818,1.051736718,2.920018032,14.036
7.40E-12,272,587.7405513,1.049730492,2.920955412,14.032
5.62E-12,273,588.7892803,1.047728092,2.921885017,14.03
5.79E-12,274,589.8360087,1.045729511,2.922802979,14.027
1.35E-11,275,590.8807406,1.043734743,2.923713377,14.023
1.14E-11,276,591.9234795,1.04174378,2.924612353,14.02
1.04E-11,277,592.9642294,1.039756615,2.92550397,14.018
1.02E-11,278,594.002994,1.037773241,2.926384381,14.014
7.60E-12,279,595.0397771,1.03579365,2.927257632,14.012
7.46E-12,280,596.0745826,1.033817835,2.928119887,14.008
5.73E-12,281,597.107414,1.031845789,2.928975179,14.007
5.73E-12,282,598.1382754,1.029877504,2.929819678,14.003
