Threads,Max Threads,Total Points,Pi Estimation,Error (%),Exe Time (C) [sec] ,Exe Time (Py) [sec]
1,22,1.00E+10,3.141397552,0.00621,309.671,309.8067479
2,22,1.00E+10,3.141398101,0.006193,126.734,127.0011754
4,22,1.00E+10,3.141383869,0.006646,73.559,73.77415919
8,22,1.00E+10,3.141368523,0.007134,47.059,47.23339605
16,22,1.00E+10,3.141348808,0.007762,42.289,42.39126349
32,22,1.00E+10,3.141325842,0.008493,39.385,39.62196708
64,22,1.00E+10,3.141100189,0.015676,37.555,37.66987586
