Threads,Max Threads,Total Points,Pi Estimation,Error (%),Exe Time (C) [sec] 
22,22,1.00E+02,3.04,3.233795,0.019
22,22,1.00E+03,3.268,4.023671,0.017
22,22,1.00E+04,3.2052,2.024685,0.014
22,22,1.00E+05,3.15376,0.387299,0.01
22,22,1.00E+06,3.147044,0.173522,0.028
22,22,1.00E+07,3.144202,0.083058,0.089
22,22,1.00E+08,3.1409426,0.020692,0.478
22,22,1.00E+09,3.1408027,0.025145,4.192
22,22,1.00E+10,3.141360805,0.00738,42.207
22,22,1.00E+11,3.141391633,0.006399,594.096
