P_out, P_c, E_c, rho/rho_sat, dE_dP, M, R
9.561308771037602e-13, 4.100000000000002, 352.94598708235264, 1.9849885808856127, 43.54219354662835,0.09756807284762237, 15.183999999997024
9.661309473673888e-13, 4.200000000000002, 357.27457767948306, 2.0090499270365223, 43.03268781898606,0.0983918095293675, 14.985999999997134
9.805129870079434e-13, 4.3000000000000025, 361.55312049530056, 2.0328264934333755, 42.541060522709344,0.09919736400110842, 14.790999999997242
9.544384884931396e-13, 4.400000000000002, 365.783351586254, 2.0563281585106523, 42.066289952983404,0.09998582883220664, 14.600999999997347
9.76494347212365e-13, 4.500000000000003, 369.966908903937, 2.0795642424707608, 41.60743432265964,0.10078955077323253, 14.428999999997442
9.820845780371984e-13, 4.600000000000002, 374.1053398854785, 2.1025435504745595, 41.16362390059547,0.1015774188489811, 14.259999999997536
9.628290422803562e-13, 4.700000000000003, 378.20010830516156, 2.125274411628142, 40.73405407501716,0.10238104251823593, 14.10799999999762
9.742078019389286e-13, 4.8000000000000025, 382.25260047329357, 2.1477647142553864, 40.317979215968066,0.10316980390209694, 13.959999999997702
9.36045141752298e-13, 4.900000000000003, 386.2641308567656, 2.170021937879822, 39.914707230282175,0.10394437492077133, 13.813999999997783
9.260577118535932e-13, 5.0, 390.2359471859039, 2.1920531822834213, 39.523594718590395,0.10470538093193266, 13.668999999997864
9.18080766461283e-13, 6.0, 428.00483647117676, 2.401273950375227, 36.167069705931404,0.1120743103369325, 12.525999999998497
9.539185846950328e-13, 7.0, 462.81731977395145, 2.593672303037225, 33.55837998385368,0.11889754540934488, 11.703999999998953
9.66866296058426e-13, 8.0, 493.21549820013485, 2.7613254511050624, 20.883979091672266,0.1252738082699401, 11.098999999999288
8.93973810989935e-13, 9.0, 513.3046218961891, 2.8718942005125703, 19.34461562578477,0.1313934127584953, 10.609999999999559
9.738202244577978e-13, 10.0, 531.9914201118005, 2.974547671164343, 18.066380670393333,0.1375840760530194, 10.202999999999784
9.71131788286696e-13, 11.0, 549.5027639975243, 3.070566413419996, 16.984932242349206,0.14388414227005944, 9.857999999999976
8.8622833772993e-13, 12.0, 566.0119484675182, 3.1609285722049685, 16.055887457431048,0.15023328662933955, 9.559000000000141
9.9479731610422e-13, 13.0, 581.6546853442844, 3.24640015863475, 15.247556034468817,0.15663329974599177, 9.313000000000278
8.35892821335127e-13, 14.0, 596.539474250843, 3.3275935874255214, 14.536654148829584,0.16301746143471738, 9.097000000000397
8.745723965549624e-13, 15.0, 610.7545843053845, 3.4050070843356686, 13.90565742900853,0.16938289471605364, 8.9120000000005
8.451135216762835e-13, 16.0, 624.3729041171573, 3.4790520614577245, 13.341102169107431,0.17569743081319372, 8.745000000000593
9.288257572526657e-13, 17.0, 637.4554021933518, 3.5500726491212466, 12.832458866536298,0.18198220072646748, 8.60600000000067
9.131484215337014e-13, 18.0, 650.0536534108106, 3.6183599562967954, 12.371363952052036,0.1881971946835166, 8.47900000000074
6.694752558733707e-13, 19.0, 662.2117209887837, 3.684162693193308, 11.951082824364615,0.1943526680861268, 8.368000000000801
6.8783537357875e-13, 20.0, 673.9675833128499, 3.747695224815729, 11.566126388547488,0.2004444582937056, 8.270000000000856
9.189387513373039e-13, 21.0, 685.3542327223432, 3.8091437729551294, 11.21197194797369,0.20646998583929996, 8.183000000000904
6.225390614751739e-13, 22.0, 696.4005335614737, 3.8686712593680563, 10.884856569113229,0.21242756095972912, 8.108000000000946
8.262900739816105e-13, 23.0, 707.1319006814981, 3.926421135510707, 10.58162174900721,0.21830362729304548, 8.035000000000986
7.144391720467942e-13, 24.0, 717.5708420668692, 3.9825204453351866, 10.299595028706506,0.22411130875973365, 7.972000000000997
9.42975104991912e-13, 25.0, 727.7373972729193, 4.037082300004923, 10.03649863030558,0.22983856628950158, 7.911000000000977
8.850262949916799e-13, 26.0, 737.6494950109262, 4.090207896245977, 9.79037814116571,0.2354986036099266, 7.8570000000009586
6.647082782800871e-13, 27.0, 747.3232473002023, 4.141988176657593, 9.55954626296545,0.24109207633136462, 7.810000000000943
9.42606763130268e-13, 28.0, 756.7731933525937, 4.19250520629261, 9.342538016102296,0.24660839851716762, 7.7640000000009275
9.447435614602335e-13, 29.0, 766.0125032532793, 4.241833322312322, 9.138074750037683,0.2520603904293931, 7.723000000000914
6.567666398635964e-13, 30.0, 775.0531492119352, 4.290040100595675, 8.945034991243716,0.25743819939404095, 7.685000000000901
5.260975706349595e-13, 31.0, 783.9060504479598, 4.337187173528688, 8.762430649978056,0.26275420920686465, 7.65100000000089
8.891145514944323e-13, 32.0, 792.5811964820408, 4.383330925910738, 8.589387463354583,0.2679990527737922, 7.616000000000878
4.662096410928941e-13, 33.0, 801.0877526214719, 4.428523090355349, 8.425128814358294,0.27318478243157934, 7.588000000000869
7.791021489868942e-13, 34.0, 809.4341506685, 4.472811259283914, 8.268962261455876,0.2783023508849053, 7.559000000000859
5.699800114904436e-13, 35.0, 817.6281672922938, 4.516239327288039, 8.1202682599266,0.2833634590425224, 7.535000000000851
9.713152843119256e-13, 36.0, 835.8884553494743, 4.612893267800512, 24.219123759707617,0.2883600956918289, 7.510000000000843
4.554694037327196e-13, 37.0, 860.1213411541422, 4.741029191906082, 24.24652273389573,0.2931536088089959, 7.486000000000835
9.867150983667533e-13, 38.0, 884.3812572771599, 4.8691651160116525, 24.273190980977894,0.29765064075524444, 7.466000000000828
9.915058845019486e-13, 39.0, 908.667492227865, 4.997301040117222, 24.299166467381152,0.30179965065177017, 7.447000000000822
8.04033736358606e-13, 40.0, 932.9793710146179, 5.125436964222792, 24.324484275365442,0.30564186076129607, 7.432000000000817
8.051076745853028e-13, 41.0, 957.3162524061885, 5.253572888328361, 24.349176887955814,0.30918766144138543, 7.414000000000811
6.13787643438332e-13, 42.0, 981.6775264604648, 5.381708812433931, 24.373274439534875,0.31248144365470215, 7.402000000000807
6.773735700439002e-13, 43.0, 1006.0626122886381, 5.509844736539502, 24.39680493694507,0.31552813349886, 7.385000000000801
6.924695550798108e-13, 44.0, 1030.47095602747, 5.637980660645071, 24.419794455169768,0.3183666040968183, 7.373000000000797
4.8876222482097e-13, 45.0, 1054.9020289959822, 5.766116584750641, 24.442267311021826,0.32099760613898487, 7.359000000000792
9.513398748551087e-13, 46.0, 1079.3553260160677, 5.89425250885621, 24.4642462177406,0.32344679571880797, 7.346000000000788
