dE_dP(10),dE_dP(50),dE_dP(100),dE_dP(200),dE_dP(400),dE_dP(800),E_c(10),E_c(50),E_c(100),E_c(200),E_c(400),E_c(800),M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15
2.98841091112114,2.99075504881573,2.99233446583667,2.9939866432766,2.99547909293562,2.99669359700484,268.38687488214134,387.9754690842046,537.5563948371642,836.8824280399845,1435.8501460527796,2634.3223731096045,0.5689550299316687,0.4370481746818616,0.367504613259495,0.6003002292483326,0.9233212538316796,0.8760388552370459,0.9684832508681696,1.2125224721506156,1.032102859680328,1.625191752878292,1.3016532305670454,1.4871017833108109,1.7573833095228806,1.7849241162714231,1.9290548226309268,8.39000000000079,7.726000000000915,7.313000000000777,8.530000000000712,9.701000000000064,9.555000000000144,9.833999999999987,10.451999999999646,10.01099999999989,11.140999999999265,10.638999999999545,10.962999999999363,9.295000000000288,9.412000000000225,10.162999999999808
2.93614293434167,2.9490502394349,2.95775040587282,2.96685384687385,2.97507892203619,2.98177312579714,261.3366198261264,379.0695057091661,526.759825870867,823.0449969382697,1417.3547799208438,2608.93290439282,0.4222479439708342,0.2736262125180856,0.5620938531704247,0.627923316705372,0.9127301466907844,0.8612872785144541,0.9616231332509816,1.0731760091440512,1.2895678636368058,1.632666472571619,1.6623231396492164,1.5170520074620666,1.8144732822577487,1.8198662841811235,1.802182576315133,7.718000000000912,6.718000000000578,8.44300000000076,8.737000000000597,9.773000000000025,9.609000000000114,9.92099999999994,10.231999999999768,10.740999999999486,11.305999999999171,11.338999999999157,11.15099999999926,9.54500000000015,9.568000000000136,11.445999999999096
2.87454837588024,2.89985255619863,2.91692957477707,2.934812566598,2.95098015182089,2.96414395913529,253.4734160237214,369.0181992208872,514.4775445424585,807.1725047123674,1395.9806505877864,2579.413800338151,0.2105936670850519,0.2502240224559875,0.4836957177131883,0.592362046231651,0.7883499239464032,0.9566423147345896,1.3282507804819037,1.1221211165467555,1.294986012818483,1.3903178287010762,1.5212910121594612,1.6155813512466923,2.000731890472477,1.885164525509723,1.950525209548918,6.2400000000004185,6.599000000000538,8.148000000000923,8.681000000000628,9.473000000000187,10.02899999999988,10.96799999999936,10.490999999999625,10.8979999999994,11.091999999999292,11.322999999999164,11.461999999999088,11.646999999998984,9.853999999999978,10.159999999999808
2.80393121091018,2.84331718599755,2.86996071073577,2.89790575320304,2.9232010669899,2.94381325774573,245.00111962890657,358.03403925997964,500.9278826223632,789.4894118897721,1371.9577670748426,2545.999591679707,0.5904948417167544,0.5134899980378737,0.3091092381486121,0.8007254087015728,0.9526074453806984,0.6994984716849574,1.2831807693741029,1.3393437812400752,1.0852209048348105,1.6226580012016585,1.600287909406848,1.4239727626265966,2.0709073584055293,2.033967536164738,1.9244205229573328,8.784000000000571,8.40800000000078,7.152000000000723,9.644000000000094,10.153999999999812,9.25600000000031,11.033999999999324,11.156999999999256,10.540999999999595,11.666999999998971,11.633999999998991,11.32899999999916,10.75199999999948,10.540999999999595,10.024999999999883
2.72479731144878,2.77970450843292,2.81699337142711,2.85620607058388,2.89177268348209,2.92079318768069,236.13191730913084,346.3436413496917,486.3472805104513,770.2425086008657,1345.5423194488037,2508.95414503068,0.3756094557543853,0.5058469238875758,0.547853321949543,0.8832175815392378,0.6682286019753195,0.780071934950335,1.3514027307589802,1.371237502468027,1.0659786978564991,1.4630085945684983,1.6767060166719792,1.652557585939165,1.8684476831909769,2.211919674559826,2.0975914527507937,7.716000000000911,8.483000000000738,8.699000000000618,10.074999999999855,9.25500000000031,9.70500000000006,11.36399999999914,11.406999999999115,10.64599999999954,11.594999999999011,11.95999999999881,11.92399999999883,9.836999999999987,11.70799999999895,10.80699999999945
2.63790193954383,2.7094086237081,2.75825562955713,2.8098250391592,2.8567428150764,2.8951025545812,227.07737175477467,334.1802641484567,470.98392523101535,749.6958175439513,1317.012790572389,2468.5677941098515,0.3081980780493172,0.3560593585580512,0.4504653091459695,0.8686417692804657,0.9742132239848772,0.9400544202643826,1.3164026480443254,1.1599143260902185,1.1016183434998732,1.6978447484965655,1.8185020509880745,1.6699758483967242,1.9955224478044868,1.9239798789629057,2.021936624917985,7.342000000000787,7.692000000000903,8.294000000000842,10.177999999999798,10.532999999999602,10.421999999999665,11.47599999999908,11.079999999999298,10.917999999999388,12.221999999998664,12.391999999998571,12.17799999999869,10.344999999999706,10.08599999999985,10.44699999999965
2.54428308543068,2.63298254514031,2.69407121231602,2.75892250164483,2.81818046157589,2.86676860900011,218.03931376520725,321.7758811593399,455.090862665192,728.1249762788678,1286.6656179355712,2425.1541155013715,0.2301694485865809,0.3836695089526424,0.3324512927771075,0.9275113409446346,0.8064567792599455,1.0383533202944806,1.2619735322270351,1.5114102796222766,1.2029291226077723,1.5731544648190516,1.854967081867732,1.6301077005130329,1.994805376416015,2.379103747386593,2.12061337129796,6.774000000000597,7.994000000001004,7.633000000000884,10.544999999999597,10.105999999999838,10.905999999999397,11.536999999999043,12.111999999998726,11.381999999999133,12.234999999998658,12.6989999999984,12.3419999999986,10.38899999999968,12.471999999998529,10.852999999999424
2.44526984989426,2.55115567164416,2.62487415262779,2.70371577957809,2.77618035669338,2.83582898757853,209.20123343626807,309.35318133955656,438.918811993127,705.8112151368749,1254.8104568984588,2379.0463694927835,0.3590305197528488,0.5213673434283252,0.2491622981835932,0.9498279461958364,0.7241195946842471,0.9070579418801824,1.400398789952327,1.3419553458742008,1.2802643033300147,1.873944782166628,2.002968282550654,1.6856884078455732,2.1860241634126893,2.203489038877587,2.095068290897944,7.940000000000986,8.950000000000479,7.05200000000069,10.79099999999946,9.926999999999936,10.640999999999542,12.080999999998744,11.938999999998822,11.78199999999891,12.99099999999824,13.160999999998143,12.679999999998412,11.121999999999275,11.189999999999236,10.79099999999946
2.34245638696746,2.46483875837967,2.55121863823966,2.64448770901714,2.73086745802959,2.80233374149942,200.72090680046472,297.117960606543,422.70897679483096,683.0350866613803,1221.7651159347672,2330.5936346741214,0.2056541250373578,0.3872432673962442,0.2000041448378916,0.9699570779595524,0.827022121122829,0.7764433617530482,1.57196077327385,1.5164638808702713,1.328072987275955,1.992670843238208,1.9626933099454988,1.9780585169197609,2.2536504998088525,2.291484672835072,2.489971944188848,6.718000000000578,8.255000000000864,6.657000000000558,11.031999999999323,10.504999999999615,10.30099999999973,12.684999999998409,12.562999999998476,12.10699999999873,13.430999999997995,13.38899999999802,13.410999999998008,11.396999999999124,11.539999999999043,13.697999999997847
2.23763673667007,2.37511214685352,2.47378162194234,2.58159259783365,2.68240110429007,2.76634738849311,192.72496649298049,285.25241809669546,406.6862038206509,660.07014291173,1187.8502560611246,2280.156674568359,0.2161477809068079,0.3537449517266484,0.4168649055831308,0.7193353475307913,0.8309756681009081,1.0355791819938278,1.6381498170095157,1.4818805540195523,1.5785987183633992,1.693841197433958,2.020692299903704,2.002889089289471,2.3847274680520165,2.299243502605583,2.3907511547226434,6.923000000000647,8.130000000000933,8.574000000000687,10.206999999999782,10.67899999999952,11.427999999999106,13.050999999998206,12.696999999998402,12.920999999998278,13.166999999998142,13.74499999999782,13.717999999997836,11.901999999998845,11.592999999999014,11.92499999999883
2.13270388942007,2.28319479176398,2.3933560517881,2.51545907938386,2.63097851349744,2.72795090855095,185.3059532057668,273.9098619703291,391.052873131388,637.1767930005285,1153.3839692745314,2228.103585390464,0.213204875751744,0.5795368115982821,0.2067574136267233,1.2008637428142883,1.102796088321474,1.051329871703273,1.4592890308520148,1.671217470701027,1.6388635944946588,1.762958867448229,2.1809517900246664,2.2711266891089403,2.432345908691002,2.4494821993271967,2.315229411422585,6.983000000000667,9.663000000000084,6.913000000000643,12.129999999998716,11.821999999998887,11.650999999998982,12.84499999999832,13.341999999998045,13.270999999998084,13.534999999997938,14.244999999997544,14.357999999997482,12.08999999999874,12.150999999998705,11.702999999998951
2.02952562288978,2.19039458756305,2.31083340132162,2.44658889564179,2.57683726013186,2.68724358766177,178.5220772531244,263.2112417297489,375.9838979961566,614.5965984285963,1118.6763725989993,2174.8052857171488,0.4777560336201418,0.6181641061980779,0.2217265727941191,1.060106110245696,0.7531613527577129,1.115942428984492,1.502180009962752,1.797523625410309,1.6595866061545042,2.1607715212469487,2.25716888713072,2.201291769182879,2.385286951078399,2.449067093913263,2.642091785925736,9.19800000000034,9.9929999999999,7.161000000000726,11.842999999998876,10.64199999999954,12.030999999998771,13.146999999998153,13.824999999997775,13.524999999997943,14.479999999997414,14.619999999997336,14.54099999999738,11.989999999998794,12.184999999998686,14.982999999997135
1.92981675505855,2.09804412659756,2.22717551318843,2.37555086553116,2.52025636005293,2.64434460000995,172.39953622399497,253.2437564146111,361.6231593770478,592.5472712280131,1084.0243728091757,2120.630920816794,0.2365981955659464,0.2735781998890055,0.2220153376154394,1.060512748533404,0.9980946055508444,0.9334383101326378,1.3955267525408834,1.344310587838306,1.49262730308722,2.199547289069815,2.0158110754453045,2.328207053975681,2.6622135426193805,2.5718938754293017,2.518527162211017,7.399000000000806,7.760000000000926,7.246000000000754,11.99599999999879,11.771999999998917,11.52799999999905,13.041999999998213,12.896999999998291,13.303999999998066,14.783999999997246,14.46699999999742,14.97699999999714,12.925999999998275,12.622999999998443,12.456999999998535
1.83502939645031,2.00742935331138,2.1433774316316,2.30296969473379,2.46155562067857,2.59939420924785,166.9368724537058,244.0615624141566,348.0815961385787,571.2186236612174,1049.7067692236465,2065.943265863896,0.2744004566947284,0.4574558345602237,0.2202352890174601,0.9838486012785184,1.1803035375694562,1.3007213372730302,1.7921432530161825,1.9093534980944145,1.4131251280249135,2.432832754356319,2.546617638667329,2.391452378282447,2.8606780597730324,2.5934911609009963,2.736844294550348,7.849000000000956,9.2750000000003,7.302000000000773,11.85399999999887,12.544999999998486,12.923999999998276,14.204999999997566,14.457999999997426,13.251999999998096,15.365999999996925,12.607999999998452,15.307999999996955,13.633999999997885,12.739999999998378,15.700999999996736
1.746278459808,1.91972053194292,2.06042454373697,2.22950983574372,2.40109298848581,2.55255446599802,162.11061029117906,235.6883633857645,335.437027912601,550.7696749244245,1015.9798652649512,2011.0942222890053,0.2646272281416493,0.2403271133254606,0.5648939660051024,1.1703851696585472,0.8843143553234603,1.2364967867217305,1.6392265701343351,1.4213876168831605,1.4787084471306091,2.490830383446435,2.637076669963159,2.6381419194846214,2.7981665624112337,3.0466298330579376,2.9868855861353065,7.829000000000949,7.585000000000868,10.02799999999988,12.644999999998433,11.578999999999022,12.86199999999831,14.005999999997677,13.421999999998,13.582999999997911,15.673999999996752,12.929999999998271,12.932999999998271,13.402999999998013,14.309999999997508,16.14699999999675
1.66431072636257,1.83591477634161,1.97924855044391,2.15585523929212,2.3392597491436,2.50400928395486,157.88134447227532,228.1214593779249,323.7356238587917,531.3270508362984,983.0737513049368,1956.42050900784,0.2352888125457453,0.2605294559026359,0.2520529376974105,1.2891351529709874,1.0011869518682066,1.1499343080473514,1.8077998965922453,1.9899711946024108,1.5977005221319134,2.72420105240788,2.1109999457486044,2.5379324374622323,3.333356715466308,3.210204165795742,2.7772171946335966,7.595000000000871,7.854000000000957,7.769000000000929,13.15299999999815,12.152999999998704,12.693999999998404,14.561999999997369,14.966999999997144,14.040999999997656,13.231999999998106,15.213999999997007,15.9469999999966,15.636999999996773,14.908999999997176,13.374999999998026
1.58951566376754,1.75679707227572,1.90068718635075,2.0826864397731,2.27647360200314,2.45396379275639,154.19955196704643,221.33670621637185,312.9947756041054,512.9847227797568,951.1894001492392,1902.23965410469,0.2892893532449405,0.2025552375308728,0.2541052699826767,1.0400585750735478,0.9592866008404576,1.1182714164127234,1.970165017449056,2.103673830590868,1.873114190465044,2.398616642594949,2.5464756850532138,2.7795098063181185,2.993564835260005,2.8521496217224462,2.908204245983548,8.1890000000009,7.2820000000007665,7.847000000000955,12.399999999998569,12.08599999999874,12.686999999998408,15.067999999997088,15.349999999996932,14.849999999997207,15.901999999996626,16.141999999996745,16.46599999999714,16.69299999999742,13.629999999997883,13.7859999999978
1.52196840188635,1.68292298556618,1.8254520520638,2.01065686230733,2.21316982522708,2.40264289328425,151.01061310188257,215.29381023437148,303.20701435054366,495.805032809132,920.4966823282844,1848.846391669059,0.3554655596673556,0.8187270813616077,0.2999983306941222,1.0753771352054116,0.9923208107501386,1.5203698787831326,1.7099191104863751,1.7686781337002369,1.6491018282421743,2.703698660395297,2.368604712457256,2.776360911536308,2.953578412451737,2.9265602855367665,3.133469254426612,8.819000000000552,11.568999999999027,8.341000000000816,12.620999999998444,12.30299999999862,14.060999999997646,14.570999999997364,14.718999999997282,14.412999999997451,16.53999999999723,15.996999999996572,16.640999999997355,13.94599999999771,13.87399999999775,14.480999999997412
1.46149165073151,1.61462225508533,1.75410754483596,1.94037042173418,2.14979094672095,2.35028898007315,148.2587759375412,209.94145005587296,294.3445501293764,479.8208563465816,891.1333629251883,1796.5095620842258,0.2353144097722855,0.3097824589389905,0.3192127097145759,1.4945840033791935,1.2702240605471538,0.9339538779625978,2.0392160905555072,1.9871295704050649,1.8768233635434064,2.572852593320688,2.82632222142294,2.959545690599568,3.4509447938196947,3.553010672755513,3.273645819458896,7.74300000000092,8.477000000000741,8.561000000000694,14.079999999997636,13.38499999999802,12.14099999999871,15.457999999996872,15.341999999996936,15.085999999997078,16.48199999999716,16.863999999997628,17.034999999997837,15.578999999996803,16.049999999996633,14.91899999999717
